twitter,emoticon,sentiment score,sentiment feature,generalized feature
  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...,0,-0.7003,very negative,0
 - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us,0,0.2732,positive,2
  I miss Earl,0,-0.1531,negative,1
  I miss New Jersey,0,-0.1531,negative,1
  I missed the first hour of SYTYCD last night,0,-0.296,negative,1
  I need a U2 fix NOW!,0,0,positive,2
  I never thought I'd become second choice...,0,0,positive,2
  I think I may be too friendly...lol... o well...,0,0,positive,2
  I think Manuel (my Basil plant) only has days to live   ,0,0,positive,2
  I wanna be at home @ church...I wonder wht they are doing?,0,0,positive,2
  i wanna make my own pizza,0,0,positive,2
  i want a 120gb harddrive,0,0.0772,positive,2
  i want a hug,0,0.5267,very positive,3
  I want Miley to tour Australia,0,0.0772,positive,2
  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,0,0.7783,very positive,3
  i was too slow to get $1 Up tix,0,0,positive,2
  I will send sunshine to Northern Ireland,0,0.4939,positive,2
 - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6,0,-0.4753,negative,1
  mi momacita won't let me go to my bf's bball game!!! grrr!!!,0,-0.3753,negative,1
  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,0,0,positive,2
  My new car was stolen....by my mother who wanted to go pose at church.,0,0,positive,2
  no hang out with the girls 2day. 2moro,0,-0.296,negative,1
  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!,0,-0.4184,negative,1
  no pavel tonight &lt;Tigersfan &gt;,0,-0.296,negative,1
  not a cool night.,0,-0.2411,negative,1
  oh thank you!,0,0.4199,positive,2
  pleased,0,0.4404,positive,2
  probably guna get off soon since no one is talkin no more,0,-0.5267,very negative,0
  really wanted Safina to pull out a win &amp; to lose like that...,0,0.5574,very positive,3
  RIP,0,0,positive,2
  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.,0,0.6924,very positive,3
 - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8,0,0.3164,positive,2
  so whats the status on next weekend,0,0,positive,2
  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,0,-0.0772,negative,1
  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,0,0.4926,positive,2
  Thanks,0,0.4404,positive,2
 - that explains alot.,0,0,positive,2
  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.,0,0.722,very positive,3
  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v,0,0.1779,positive,2
  trae is so sweet! He just bought me a new baithing suit!! Wove him ,0,0.6949,very positive,3
  True,0,0.4215,positive,2
  u guys knw whyy,0,0,positive,2
  very much so ,0,0,positive,2
  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;,0,0,positive,2
--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --,0,-0.1779,negative,1
  Went to get dog from vets,0,0,positive,2
  where is my picture i feel naked ,0,0,positive,2
  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.,0,0,positive,2
  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp,0,-0.296,negative,1
  wide awake   NOT!!!,0,0,positive,2
  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...,0,-0.4728,negative,1
 - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,0,0.2023,positive,2
  you'll always be my one and only...  [12*23*2007],0,0,positive,2
 #3turnoffwords this shit sucks,0,-0.7269,very negative,0
 #asylm J2 panel is over. Guess it's back to normal life.,0,0,positive,2
 #poemsunder140 ....started by @shannonelyse1,0,0,positive,2
 #squarespace brighten my bad day! i never win anything...,0,-0.6077,very negative,0
 #Susan Boyle didnt win! mh well,0,-0.6343,very negative,0
 #twenty20,0,0,positive,2
 &lt;--- That is all,0,0,positive,2
 &lt;3 goooood timessss,0,0,positive,2
 &lt;3 GrAdUaTE 09&lt;3,0,0,positive,2
 &quot; Vandals paint swastikas on home of author of gay,0,0,positive,2
 &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far ,0,-0.7351,very negative,0
 &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,0,0,positive,2
 &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....,0,0,positive,2
 &quot;I want you so bad it's driving me  mad&quot;,0,-0.5413,very negative,0
 &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...,0,0.1779,positive,2
 &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ?¢¯¨ö Decode @Daninho502  ? http://blip.fm/~5ytke,0,0.1179,positive,2
 &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel),0,0.1593,positive,2
 &quot;well,0,0,positive,2
 (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86,0,-0.5267,very negative,0
 (unsure) (annoyed) http://plurk.com/p/1230lz,0,0,positive,2
 (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc,0,0,positive,2
 *BeautifulyLost,0,0,positive,2
- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!,0,-0.6467,very negative,0
-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! ,0,0.5255,very positive,3
-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. ,0,-0.6412,very negative,0
 . . . . going back to bed,0,0,positive,2
-- . Aiqht Goodniqht . Tri,0,0,positive,2
 .. i wantt hiim soo badd !!,0,0,positive,2
 .. watching tv ,0,0,positive,2
 ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,0,-0.1779,negative,1
 ... Rained out truck race,0,0,positive,2
 ... Why am I feeling worse??? F!!!,0,-0.6144,very negative,0
 .... Feeling pain and happiness at the same time. How confusing!,0,-0.1007,negative,1
 ..... hot choco is the best!,0,0.6696,very positive,3
 ....in a shirt and panties. celulite,0,0,positive,2
 ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...,0,-0.3597,negative,1
 ..y everything is so hard? :/,0,-0.5491,very negative,0
 .bueno good bye. good night,0,0.7003,very positive,3
 : Let's have fun,0,0.5106,very positive,3
 @ canaveral national  seashore,0,0,positive,2
 @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out,0,0.0258,positive,2
 @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. ,0,0.6705,very positive,3
 @ the train crash in DC .....,0,-0.4019,negative,1
' @ Thestreetforce  ',0,0,positive,2
 @3sixty5days makes me smile.,0,0.3612,positive,2
 @adamisacson My first day off in 3 weeks,0,0,positive,2
 @adbert: &quot;#Video [Woody Woodpecker ?¢æ¡° The Barber of Seville] I am great,0,0.6249,very positive,3
 @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.,0,0.9081,very positive,3
 @alvinkschneider what happened to angels and demons and lions and tigers and bears!?,0,0,positive,2
 @AmericanWomannn Well that sure minimizes the impact...LOL,0,0.5267,very positive,3
 @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,0,-0.296,negative,1
 @CharlottegC I just saw ur mum,0,0,positive,2
 @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.,0,0,positive,2
- @codinghorror See,0,0,positive,2
 @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7,0,0.7096,very positive,3
' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better),0,0.0772,positive,2
 @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh,0,0.5893,very positive,3
 @dandelionas is making fettucini and garlic bread!,0,0,positive,2
 @danregal  tell @pfont i said Happy BDay!! ,0,0.6467,very positive,3
- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically,0,-0.296,negative,1
 @DirtyRose17  told you,0,0,positive,2
 @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2,0,0.5719,very positive,3
- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion,0,-0.4003,negative,1
 @emilymariie why didnt you come to school?? have you done the short stack thing by yourself,0,0,positive,2
- @EvertB which one? http://bit.ly/10o8LW,0,0,positive,2
 @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,0,0.4161,positive,2
 @Glamicole ..now who wud make this beautiful plc cry?,0,0.3664,positive,2
 @HaterMagazine: @damienrandle it is now the outer fat kid.,0,0,positive,2
- @haugern The servers are now backup,0,0,positive,2
 @hawaiibuzz: &quot;yes,0,0,positive,2
 @hellopnsdear se MORREA a mi Joseph,0,0,positive,2
 @hidingesther @linininiooh are my future rooooooooomies! NYC holleR,0,0,positive,2
 @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO,0,0.4404,positive,2
 @iamyas awesome,0,0.6249,very positive,3
 @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn,0,-0.4168,negative,1
- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! ,0,-0.508,very negative,0
- @joaoqalves Think again   Talvez seja do ?¨£nfase na cifra. Mas aten?¡×??o: &quot;Security is a chain; it's as strong as the weakest link ?¢æ?,0,0,positive,2
 @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!,0,-0.2387,negative,1
- @JuicyJones I know.. SOLD OUT though. ,0,0,positive,2
- @kaitymarine - watch E3 @MCMudkips - Will do ,0,0,positive,2
- @katherineholden Thanks K! Here's hoping! Pretty nervous though... ,0,0.8118,very positive,3
 @katiedontcry should get on aim and talk to me. i miss her.,0,-0.1531,negative,1
 @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn,0,0,positive,2
 @khead I'll tell ya,0,0,positive,2
 @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL,0,0.0387,positive,2
 @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!,0,0.6714,very positive,3
 @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera,0,-0.25,negative,1
- @littlecharva - I'm immune to dentists' drills etc now,0,0.296,positive,2
 @lolife4life where r u tonite im still awake!,0,0,positive,2
 @lorinimus hates Bebot App,0,-0.4404,negative,1
 @masareus&quot; @dhempe congrats bhai,0,0.5267,very positive,3
 @MelodyChase,0,0,positive,2
 @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC,0,-0.0258,negative,1
 @michaelsarver so do you give him every inch of your love every night?,0,0.6369,very positive,3
 @mimbles @WParenthetical,0,0,positive,2
' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. ,0,0.4576,positive,2
 @MsNovember It's a shame all the women in Mamma Mia are so horny,0,-0.6486,very negative,0
- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge ,0,0.4404,positive,2
 @Oneshine What are u referring to?,0,0,positive,2
 @plmusic22,0,0,positive,2
- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok,0,0.3595,positive,2
 @RAPPUBLICIST HAPPY MOTHERS DAY!,0,0.6114,very positive,3
- @raybooysen I knew Sharepoint was written by interns,0,0,positive,2
                                     I miss her so much already...,0,-0.1531,negative,1
               just practising.....how I feel       ,0,0,positive,2
            Miss my love Jamie,0,0.5574,very positive,3
          FUCK YOU!,0,-0.5848,very negative,0
        my head feels like a bowling ball,0,0.3612,positive,2
        my heart hurts badly...,0,-0.4767,negative,1
       FS keeps crashing when I try to load Bungie plane.,0,0,positive,2
      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    ,0,0,positive,2
     ....    My mood is currently BLAH . Sitting in a parking lot,0,-0.2808,negative,1
     I am happy     ,0,0.5719,very positive,3
    everyone went home. and not everyone was even here! ~CMF &lt;3,0,0,positive,2
    fed up....,0,0,positive,2
    fuck,0,-0.5423,very negative,0
    Not feeling it today     And to make matters worst its super nasty and rainy outside,0,-0.5423,very negative,0
   @Beansummer,0,0,positive,2
   Awwwwwh  i wanted Aiden Davis 2 WIN,0,0.6739,very positive,3
   bed time now....,0,0,positive,2
   Faltam 4 dias para o World Drawing day,0,0,positive,2
   Friends like these ... no thanks,0,0.743,very positive,3
   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.,0,0.4588,positive,2
   i think my bf is cheating on me!!!!     ,0,-0.6973,very negative,0
   i wanna play with my camera but i will settle for playing with iv's and heart monitors,0,0.4404,positive,2
   i want an octo drive,0,0.0772,positive,2
   I want to display my pretty voltron!  Upside,0,0.5848,very positive,3
   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work,0,0.0387,positive,2
   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight,0,0.7003,very positive,3
  --- is our response to what happened today. and that is all.,0,0,positive,2
   J,0,0,positive,2
   kinda but not really,0,0,positive,2
   let's have a moment of silence for our childhood homes... sadly,0,-0.4215,negative,1
   lol all these #robotpickuplines are hilarious ,0,0.6705,very positive,3
   man,0,0,positive,2
   my friends can get with ur friends and we can all b friends,0,0.8519,very positive,3
   No man is worth your tears,0,-0.296,negative,1
   rain rain go away!,0,0,positive,2
   such a beautiful satisfying day of bargain shopping. loves it.,0,0.9081,very positive,3
   Tell those girls your clocking out lol,0,0.4215,positive,2
   thank god today is friday !!! I love Ti Ti! &lt;3,0,0.8741,very positive,3
   the batt to my internet connection died.  Guess its back to the mobile!,0,-0.5983,very negative,0
   thrilled about being at work this morning   ,0,0.4404,positive,2
   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....,0,0.7788,very positive,3
   www.apple.com/iphone now has it for the 18th   ,0,0,positive,2
  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot ,0,0.1759,positive,2
                                           exhausted,0,-0.3612,negative,1
          i want some ben&amp;jerrys cake batter please ugh,0,-0.0516,negative,1
          my life is very lazzzzyyyy!!!!!!!            ***********,0,0,positive,2
    SO FAR SO GOOD!,0,0.5788,very positive,3
    TODAY WAS A GREAT DAY!!!,0,0.7163,very positive,3
    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0,0,positive,2
   #Battleground,0,0,positive,2
   a lot,0,0,positive,2
   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt ,0,0.6739,very positive,3
   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html,0,0,positive,2
   eh  must leave New Mexico and soon!,0,-0.126,negative,1
   fail maths  i knew it i was just too slow ,0,-0.5423,very negative,0
   From Gongwer OH Report,0,0,positive,2
   fuck sake. Why can things never work out for me?,0,-0.5423,very negative,0
#NAME?,0,0,positive,2
   hoping to see my baby girl,0,0.4215,positive,2
   i don't even know.,0,0,positive,2
   I just lost a member of my family ,0,-0.3182,negative,1
   I'm SICK of bedtime battles   ,0,-0.7672,very negative,0
   i'm so cold this morning......       i have chills all over.....   ,0,0,positive,2
   Just... ,0,0,positive,2
   No no no. Tonight goes on the books as the worst SYTYCD results show.,0,-0.8658,very negative,0
   no shopping   ,0,-0.296,negative,1
  - Poor lil mousey,0,-0.4767,negative,1
  -- that's an EPIC sad face.,0,-0.4767,negative,1
   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c,0,-0.4215,negative,1
   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy,0,0,positive,2
   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata ,0,0.906,very positive,3
   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,0,0.8531,very positive,3
  #IranElection - no one realizes how deep this goes.,0,-0.296,negative,1
  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano ),0,-0.4019,negative,1
  &lt; that is the story of my life,0,0,positive,2
               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      ,0,0,positive,2
             i just want to hear from you. i guess that's asking too much..,0,0.0772,positive,2
       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl,0,0.4215,positive,2
       i really2 don't like this condition. sucksssssss,0,-0.2755,negative,1
       Orlando Lost  The Series. Oh Well,0,-0.0516,negative,1
      rinitis sucks!!!!!,0,0,positive,2
      thanks for being the bestttttttttttttttttttt J-dawg,0,0.4404,positive,2
     &lt;- but mustache man is not that desperate,0,0.3491,positive,2
     &lt;--------- my face because i'm missing zoro tonight.,0,-0.296,negative,1
     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*,0,0.4926,positive,2
     angry,0,-0.5106,very negative,0
     praise God for this beautiful day!!!     ,0,0.8879,very positive,3
     sry matt 2 hear that (,0,0,positive,2
     what the fucccckkkkkkkkkk,0,0,positive,2
    Bye World!!!!!!,0,0,positive,2
    i couldnt even have one fairytale night,0,0,positive,2
    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.,0,-0.6408,very negative,0
    My cell phone screen is dead.  Sooooooooooo,0,-0.6486,very negative,0
    NO MORE SICKNESS. strike i say STRIKE! ohhhh well,0,-0.7034,very negative,0
    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..,0,0.296,positive,2
   (must i say more?),0,0,positive,2
   *old me's dead and gone*,0,-0.6486,very negative,0
   ... have to go now ??? 13 more minutes   ... please please please,0,0.8037,very positive,3
   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg,0,0.7482,very positive,3
   @PERFEKTnCHANCE (Chance) is Boo #29,0,0,positive,2
   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.,0,0.8433,very positive,3
   awwwww i really hate this.,0,-0.6115,very negative,0
   bad day.,0,-0.5423,very negative,0
   bad day.....damn you @311. What kind of ticket sale was that.....,0,-0.5423,very negative,0
   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc,0,0,positive,2
   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,0,0.8916,very positive,3
   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure,0,-0.2263,negative,1
   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk,0,0,positive,2
   CRY CRY CRY   ,0,-0.8519,very negative,0
   F**kn day...,0,0,positive,2
   Goodnight   ,0,0,positive,2
   grandma is very sick. not doing well. going to the emergency room.,0,-0.791,very negative,0
   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     ,0,0.765,very positive,3
   I am going to shed tears if the Cavs have to go home tonight. Like seriously,0,-0.0258,negative,1
   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years,0,0.3612,positive,2
   I hate you forever.,0,-0.5719,very negative,0
   I have passed 70-542 exam today   ,0,0,positive,2
   i missed it,0,-0.296,negative,1
   i still Feel like a Douchebag,0,-0.3612,negative,1
   I want to write a song. I think I will.,0,0.0772,positive,2
- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. ,0,0.34,positive,2
 @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS,0,0.3818,positive,2
- @SlashHudson you tease,0,-0.3182,negative,1
 @sommacolada never answering my im's,0,0,positive,2
 @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces,0,0.4215,positive,2
 @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace,0,-0.3384,negative,1
 @SRenaeNae... What is 'FML',0,0,positive,2
 @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... ?¢â? http://blip.fm/~7qdf0,0,0.7425,very positive,3
 @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H,0,0.4019,positive,2
 @THEDIAMONDCOACH  Im sure he'd love that LOL,0,0.876,very positive,3
 @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm,0,0.4753,positive,2
 @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.,0,0.5411,very positive,3
 @va_songstress broke my twitter..,0,-0.4215,negative,1
 @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc,0,0.2144,positive,2
 @weselec My avatar can't figure out what you people are,0,0,positive,2
 @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?,0,0,positive,2
 @yhf What happened to movies,0,0,positive,2
 @zochula just yelled at me for picking apple store over food.,0,0,positive,2
 @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk,0,0.3818,positive,2
 =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7,0,0,positive,2
 1 of me cats kittens died only 3 days old too..RIP ming.,0,-0.5574,very negative,0
 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb,0,0,positive,2
- 20 chicken mcnuggets,0,0,positive,2
 3 hrs on da phone...lol dude is hilarious,0,0.4019,positive,2
- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish ,0,0,positive,2
 5 gb of video to upload to utube :O dam sony vegas making it so big ,0,-0.2808,negative,1
 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?,0,0,positive,2
 a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now,0,-0.5106,very negative,0
 A blessed sunday everyone!,0,0.636,very positive,3
a couple years of sickness all piled up to this one day,0,0,positive,2
 A dog riding the bicycle http://bit.ly/gvMzD,0,0,positive,2
 a fly just landed in my green chile stew. i've never been big on killing bugs,0,-0.6597,very negative,0
 A problem shared is a buck passed,0,-0.0772,negative,1
 A_ just got the same handshake in her meeting. Vibe here sucks,0,-0.3612,negative,1
 ?¢¬¡±?¢¬©ö?©ö??¢¬??©ö??¢¬??©ö? hitech,0,0,positive,2
  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!,0,0,positive,2
  alice is beating be at my scooby doo board game!,0,-0.5093,very negative,0
  am quite tired can't wait till wwe at burswood &lt;3,0,-0.4927,negative,1
  anyone have any advice on how to cope with a break up?,0,0,positive,2
  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it,0,0,positive,2
 awake,0,0,positive,2
